Type,Disposition
Processed,"(42.343959000015815,18.525018983469764)"
Processed,"(42.00313273341996,17.834104866336347)"
Processed,"(42.03647443365165,18.071201400018694)"
Processed,"(42.808890482807065,19.49563291624777)"
Processed,"(42.97745129920609,19.41968793358)"
Processed,"(43.296049766016004,19.560464000207112)"
Processed,"(44.05549959964305,19.26779796650712)"
Processed,"(44.90015600003749,19.197409933035626)"
Processed,"(45.35582590015055,19.334481366022892)"
Processed,"(45.31507493263914,19.3455952658369)"
Processed,"(45.22616373254773,19.623442766240956)"
Processed,"(44.911269900167376,17.763716832312056)"
Processed,"(45.174298866327895,17.037608698837744)"
Processed,"(45.94486259992687,16.51525539873512)"
Processed,"(46.545013199359275,16.500436865281273)"
Processed,"(47.35262326651394,17.159861598687023)"
Processed,"(47.06366186755936,17.785944632650782)"
Processed,"(46.68949390025799,18.482415699138414)"
Processed,"(46.589468800510545,18.47500643328014)"
Processed,"(46.741358766477845,18.245319166719565)"
Processed,"(47.452648366261386,17.923016066901543)"
Processed,"(48.43437619995899,18.42314156674442)"
Processed,"(49.49019669950442,19.81608369971967)"
Processed,"(50.19778166659573,21.242367532926608)"
Motor,"(51.11300812770797,22.34494623410038)"
Processed,"(50.76829520006805,22.383394599713284)"
Processed,"(51.368445799816314,23.20582319921624)"
Processed,"(52.19828366691485,23.780041365854586)"
Processed,"(53.32449219961592,24.654334833314678)"
Processed,"(54.70261579897938,26.658541466483996)"
Processed,"(56.188173766949376,28.040369700119044)"
Processed,"(57.32920083326226,29.136941166702087)"
Motor,"(57.654054066002395,29.48315993344174)"
Processed,"(58.07753676754909,29.959369766520922)"
Processed,"(58.326948702793224,30.584251296786135)"
Processed,"(57.76643372088283,30.763102890908478)"
Processed,"(57.16120001889547,30.811780050095145)"
Processed,"(56.24930021647917,29.766728833042194)"
Processed,"(55.621364866801045,29.318468199735044)"
Processed,"(55.06566986662469,28.933186333093488)"
Processed,"(54.01355400040319,28.829456599390298)"
Processed,"(52.88364083311467,29.085076299218734)"
Processed,"(51.81670643328141,29.111008732802464)"
Processed,"(50.54231256604177,28.803524166754187)"
Processed,"(49.24939553249811,28.229306000589652)"
Processed,"(47.65269856544043,27.229055000903912)"
Processed,"(46.0300691654308,26.55481173309667)"
Processed,"(45.07056913230886,27.069755766235446)"
Processed,"(45.118729365678504,29.662999099733838)"
Motor,"(44.73185421150451,30.33811268322623)"
Processed,"(45.126138633116156,31.048531966140104)"
Processed,"(45.396576866082576,31.659796466492054)"
Processed,"(47.070012665557826,29.724390165286607)"
Processed,"(48.09632840764539,29.098968674104697)"
Processed,"(49.030391395264886,28.51792278247615)"
Processed,"(49.1304467659821,28.077866596218144)"
Processed,"(47.89905668322243,27.530982616413453)"
Processed,"(47.211847199886805,26.851182399173)"
Processed,"(46.29309813301275,26.21028083254508)"
Processed,"(45.36323516648264,25.12852789988972)"
Processed,"(43.88508646610819,24.172732499933772)"
Processed,"(42.184659766295,23.298439033263378)"
Processed,"(40.273068966383164,22.89833863301004)"
Processed,"(38.63932566671741,22.83165523317838)"
Processed,"(37.08337966653943,22.67606063262361)"
Processed,"(35.72748386711987,22.45007799891318)"
Processed,"(34.04187570028671,22.342643632201884)"
Processed,"(32.13769416670692,22.090728565381553)"
Processed,"(30.39281186605831,21.379438966229756)"
Processed,"(28.72202223346875,20.96081539935652)"
Processed,"(27.2253503664744,20.631103033206415)"
Processed,"(25.065549132908245,20.65703546694808)"
Processed,"(22.405622399657148,20.082817299835924)"
Processed,"(20.016133899372562,19.967973666792545)"
Processed,"(17.841514133458134,19.78274199964592)"
Processed,"(16.318909832880024,19.46784816647586)"
Motor,"(14.932000707367182,19.281720567129963)"
Processed,"(15.392751499358042,19.456734266188043)"
Processed,"(15.085266932835964,19.038110699156853)"
Processed,"(14.803714798949954,18.152703332672445)"
Processed,"(14.033151066298615,17.65998709931958)"
Processed,"(12.76987109997853,17.734079765799194)"
Processed,"(11.154650967248614,17.500687865914642)"
Processed,"(9.743185667653393,16.7227148661415)"
Processed,"(8.750343934299764,15.248270799722803)"
Processed,"(7.768616099970444,14.47029780010763)"
Processed,"(6.631293666981605,14.522162666643354)"
Processed,"(5.097575467063336,15.085266933625633)"
Processed,"(3.411967299914295,16.189247666856616)"
Processed,"(2.511741399344203,15.611324866578428)"
Processed,"(2.1375734323587494,14.781486999637835)"
Processed,"(1.8078610662086305,13.510797765722174)"
Processed,"(0.8891120002822106,12.158606598994794)"
Processed,"(0.1741177674905714,11.854826666270498)"
Processed,"(-0.025932433583733427,11.625139399394058)"
