longitude,latitude,disposition
76.51814639999999,43.110576,"(-9.702434700457914,6.557201000028151)"
76.5181386,43.1105796,"(-10.569318899532746,6.957301399965623)"
76.5181298,43.1105771,"(-11.54734209990636,6.67945389987743)"
76.5181214,43.110575,"(-12.48090969976046,6.44606199951906)"
76.5181134,43.1105744,"(-13.370021699095048,6.379378599529481)"
76.5181051,43.110574299999996,"(-14.29247539960896,6.368264699399603)"
76.518098,43.1105731,"(-15.081562300143716,6.234897900210136)"
76.5180945,43.1105723,"(-15.47054879916162,6.145986699960801)"
76.5180883,43.1105726,"(-16.159610599317162,6.179328399560745)"
76.5180795,43.110571099999994,"(-17.137633799690775,6.012619899191954)"
76.5182337,43.110517,"(0.0,0.0)"
76.5180637,43.1105704,"(-18.893629999679575,5.934822599862187)"
76.5180543,43.1105707,"(-19.938336599253077,5.968164299462131)"
76.5180479,43.110571,"(-20.649626199668376,6.001505999851766)"
76.5180442,43.110566,"(-21.060840498946035,5.4458109996753805)"
76.5180375,43.1105656,"(-21.80547179896128,5.401355399945558)"
76.5180312,43.1105581,"(-22.50564750003639,4.56781289968098)"
76.5180243,43.1105612,"(-23.272506600311388,4.912343799758752)"
76.5180174,43.11055819999999,"(-24.039365699007007,4.578926799021168)"
76.5180101,43.110562,"(-24.85068039980152,5.001255000008086)"
76.5180085,43.1105654,"(-25.02850280030019,5.379127599685802)"
76.5180042,43.110560299999996,"(-25.506400500357117,4.812318699379539)"
76.5180004,43.110567,"(-25.928728698974965,5.556950000184472)"
76.5179933,43.1105651,"(-26.71781559950972,5.345785900085858)"
76.5179862,43.110562099999996,"(-27.506902500044475,5.0123688993482745)"
76.51797760000001,43.110559300000006,"(-28.462697898578952,4.701179700449828)"
76.5179692,43.1105591,"(-29.396265500012433,4.6789519001900715)"
76.51795919999999,43.110555500000004,"(-30.507655500365203,4.2788515002526)"
76.5179443,43.1105529,"(-32.16362659997479,3.989890100034529)"
76.5179339,43.1105519,"(-33.31947219926769,3.878751099525438)"
76.5179198,43.1105501,"(-34.886532099417636,3.678700899556702)"
76.5179113,43.1105488,"(-35.831213600191305,3.5342201994476667)"
76.5179011,43.1105434,"(-36.96483139922445,2.934069599541459)"
76.5178871,43.1105394,"(-38.520777400034206,2.489513599874165)"
76.5178736,43.110536700000004,"(-40.02115389940488,2.1894383003159064)"
76.5178612,43.1105333,"(-41.399277499715964,1.8115656998485008)"
76.51785009999999,43.110530600000004,"(-42.632920400707704,1.511490400290242)"
76.5178394,43.1105308,"(-43.82210769960055,1.5337181997603082)"
76.5178252,43.110529500000005,"(-45.40028149909068,1.389237500440963)"
76.5178154,43.110525100000004,"(-46.489443699183695,0.9002259002541564)"
76.5178053,43.110522499999995,"(-47.611947598876654,0.6112644992463956)"
76.5177973,43.110519700000005,"(-48.50105959979062,0.3000753003479488)"
76.5177865,43.1105211,"(-49.70136079960304,0.4556698997971722)"
76.5177764,43.1105217,"(-50.823864699295996,0.5223532997867508)"
76.5177659,43.1105217,"(-51.99082419950847,0.5223532997867508)"
76.5177546,43.1105201,"(-53.24669489918058,0.3445309000777712)"
76.5177477,43.110519599999996,"(-54.01355399945558,0.2889613994283806)"
76.5177392,43.1105134,"(-54.95823550022925,-0.4001003999374717)"
76.517736,43.1105029,"(-55.31388029964721,-1.5670599001499426)"
76.51773,43.1104957,"(-55.980714299542996,-2.367260700024886)"
76.5177262,43.1104901,"(-56.40304249974022,-2.9896391001908498)"
76.5177245,43.1104812,"(-56.59197879957908,-3.978776199904651)"
76.5177272,43.1104695,"(-56.29190350002082,-5.279102500096279)"
76.51773060000001,43.1104638,"(-55.91403089876373,-5.912594800392121)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182337,43.110517,"(0.0,0.0)"
76.517725,43.110463499999994,"(-56.53640929971938,-5.945936500781755)"
76.5177285,43.110462500000004,"(-56.1474227991221,-6.057075499711466)"
76.5177303,43.1104616,"(-55.94737259994305,-6.157100600090679)"
76.5177324,43.1104613,"(-55.71398069958468,-6.1904423004803135)"
76.5177324,43.110460999999994,"(-55.71398069958468,-6.223784000869948)"
76.51773229999999,43.110461699999995,"(-55.72509460050425,-6.145986700750491)"
76.5177322,43.1104623,"(-55.73620849984444,-6.079303299971222)"
76.5177311,43.1104627,"(-55.858461398904026,-6.0348477002414)"
76.5177297,43.110464,"(-56.01405599914294,-5.890367000132365)"
76.51772700000001,43.1104673,"(-56.3141312987012,-5.523608299794837)"
76.5177254,43.110473400000004,"(-56.49195369919987,-4.845660399769173)"
76.5177216,43.11047859999999,"(-56.914281899397096,-4.267737600912412)"
76.5177178,43.1104824,"(-57.336610099594324,-3.8454093999254937)"
76.5177143,43.1104859,"(-57.72559660019161,-3.4564229001179)"
76.5177128,43.1104875,"(-57.89230509977071,-3.2786005004089205)"
76.5177132,43.1104891,"(-57.8478494992512,-3.1007780999102508)"
76.51771620000001,43.1104911,"(-57.514432498513614,-2.8785001004714488)"
76.5182337,43.110517,"(0.0,0.0)"
76.5177263,43.1104943,"(-56.391928598820655,-2.5228553002637994)"
76.5177343,43.1104991,"(-55.50281659948607,-1.9893881003471705)"
76.5177439,43.1105038,"(-54.43588219965281,-1.4670348005604197)"
76.51775260000001,43.110508200000005,"(-53.468972898619384,-0.978023199583923)"
76.5177642,43.110510299999994,"(-52.179760499347324,-0.744631300804933)"
76.5177712,43.110514300000006,"(-51.40178749973214,-0.30007529955825873)"
76.51777680000001,43.1105205,"(-50.77940909877648,0.3889864998075936)"
76.5177873,43.110525100000004,"(-49.61244960014339,0.9002259002541564)"
76.5177931,43.110527700000006,"(-48.96784339892798,1.189187300472227)"
76.51779859999999,43.1105246,"(-48.35657890047128,0.8446563996047658)"
76.5178044,43.1105205,"(-47.71197269925587,0.3889864998075936)"
76.5178152,43.110522,"(-46.51167149944345,0.5556950001763852)"
76.5178188,43.1105241,"(-46.11157109950598,0.7890868997450653)"
76.517824,43.110529,"(-45.53364829906984,1.3336679997915724)"
76.5178332,43.110531,"(-44.51116949975609,1.5559460000200644)"
76.5178434,43.1105325,"(-43.37755169914357,1.722654499599166)"
