type,longitude,latitude,dispositionX,dispositionY,velocityX,velocityY
Raw,0,0,0.0,0.0,0.0,0.0
Raw,0,0,0.0,1.2848687171936035,0.0,0.0
Raw,0,0,0.0,2.6247382164001465,0.0,0.0
Processed,0,0,0.0,1.6198360919952393,0.0,1.339869499206543
Raw,0,0,0.0,3.967972993850708,0.0,0.0
Processed,0,0,0.0,2.2068703174591064,0.0,2.3481369018554688
Raw,0,0,0.0,5.375953912734986,0.0,0.0
Processed,0,0,0.0,2.999141216278076,0.0,3.169083595275879
Raw,0,0,0.0,6.721208095550537,0.0,0.0
Processed,0,0,0.0,3.9296579360961914,0.0,3.722066879272461
Raw,0,0,0.0,8.132519721984863,0.0,0.0
Processed,0,0,0.0,4.980373382568359,0.0,4.202861785888672
Raw,0,0,0.0,9.462144374847412,0.0,0.0
Processed,0,0,0.0,6.100816130638123,0.0,4.481770992279053
Raw,0,0,0.0,10.883816480636597,0.0,0.0
Processed,0,0,0.0,7.296566218137741,0.0,4.783000349998474
Raw,0,0,0.0,12.296545505523682,0.0,0.0
Processed,0,0,0.0,8.546561039984226,0.0,4.9999792873859406
Raw,0,0,0.0,13.636817932128906,0.0,0.0
Processed,0,0,0.0,9.819125263020396,0.0,5.09025689214468
Raw,0,0,0.0,14.984595775604248,0.0,0.0
Processed,0,0,0.0,11.11049289116636,0.0,5.165470512583852
Raw,0,0,0.0,16.420475244522095,0.0,0.0
Processed,0,0,0.0,12.437988479505293,0.0,5.3099823533557355
Raw,0,0,0.0,17.723166942596436,0.0,0.0
Processed,0,0,0.0,13.759283095278079,0.0,5.2851784630911425
Raw,0,0,0.0,19.061272144317627,0.0,0.0
Processed,0,0,0.0,15.084780357537966,0.0,5.301989049039548
Raw,0,0,0.0,20.37948966026306,0.0,0.0
Processed,0,0,0.0,16.40845768321924,0.0,5.294709302725096
Raw,0,0,0.0,21.78772211074829,0.0,0.0
Processed,0,0,0.0,17.753273790101503,0.0,5.379264427529051
Raw,0,0,0.0,23.11139941215515,0.0,0.0
Processed,0,0,0.0,19.092805195614915,0.0,5.358125622053649
Raw,0,0,0.0,24.43539023399353,0.0,0.0
Processed,0,0,0.0,20.42845145520957,0.0,5.3425850383786155
Raw,0,0,0.0,25.75793743133545,0.0,0.0
Processed,0,0,0.0,21.76082294924104,0.0,5.329485976125881
Raw,0,0,0.0,27.09300398826599,0.0,0.0
Processed,0,0,0.0,23.09386820899728,0.0,5.3321810390249595
Raw,0,0,0.0,28.4320068359375,0.0,0.0
Processed,0,0,0.0,24.428402865732334,0.0,5.338138626940221
Raw,0,0,0.0,29.771442413330078,0.0,0.0
Processed,0,0,0.0,25.76416275263177,0.0,5.343039547597741
Raw,0,0,0.0,31.103628873825073,0.0,0.0
Processed,0,0,0.0,27.099029282930097,0.0,5.339466121193311
Raw,0,0,0.0,32.440160512924194,0.0,0.0
Processed,0,0,0.0,28.43431209042862,0.0,5.34113122999409
Raw,0,0,0.0,33.77241015434265,0.0,0.0
Processed,0,0,0.0,29.768836606407127,0.0,5.338098063914032
Raw,0,0,0.0,35.19437074661255,0.0,0.0
Processed,0,0,0.0,31.125220141458485,0.0,5.4255341402054285
Raw,0,0,0.0,36.536550521850586,0.0,0.0
Processed,0,0,0.0,32.478052736556506,0.0,5.411330380392087
Raw,0,0,0.0,37.86020636558533,0.0,0.0
Processed,0,0,0.0,33.823591143813715,0.0,5.382153629028835
Raw,0,0,0.0,39.20302152633667,0.0,0.0
Processed,0,0,0.0,35.16844873944446,0.0,5.379430382522969
Raw,0,0,0.0,40.53561329841614,0.0,0.0
Processed,0,0,0.0,36.51023987918738,0.0,5.3671645589716945
Raw,0,0,0.0,41.862956285476685,0.0,0.0
Processed,0,0,0.0,37.8484189807597,0.0,5.352716406289289
Raw,0,0,0.0,43.202452659606934,0.0,0.0
Processed,0,0,0.0,39.18692740047151,0.0,5.35403367884723
Raw,0,0,0.0,44.53660607337952,0.0,0.0
Processed,0,0,0.0,40.52434706869851,0.0,5.349678672907999
Raw,0,0,0.0,45.88700890541077,0.0,0.0
Processed,0,0,0.0,41.86501252787657,0.0,5.362661836712249
Raw,0,0,0.0,47.23027586936951,0.0,0.0
Processed,0,0,0.0,43.20632836324981,0.0,5.365263341492948
Raw,0,0,0.0,48.56110215187073,0.0,0.0
Processed,0,0,0.0,44.54502181040504,0.0,5.354773788620918
Raw,0,0,0.0,49.897141456604004,0.0,0.0
Processed,0,0,0.0,45.88305172195478,0.0,5.3521196461989575
Raw,0,0,0.0,51.2141215801239,0.0,0.0
Processed,0,0,0.0,47.21581918649706,0.0,5.331069858169116
Raw,0,0,0.0,52.549480199813836,0.0,0.0
Processed,0,0,0.0,48.54923443982625,0.0,5.333661013316771
Raw,0,0,0.0,53.886226415634155,0.0,0.0
Processed,0,0,0.0,49.88348243377823,0.0,5.336991975807905
Raw,0,0,0.0,55.22111773490906,0.0,0.0
Processed,0,0,0.0,51.217891259060934,0.0,5.337635301130831
Raw,0,0,0.0,56.551513671875,0.0,0.0
Processed,0,0,0.0,52.55129686226445,0.0,5.333622412814066
Raw,0,0,0.0,57.874568700790405,0.0,0.0
Processed,0,0,0.0,53.88211482189594,0.0,5.3232718385259545
Raw,0,0,0.0,59.21070575714111,0.0,0.0
Processed,0,0,0.0,55.214262555707236,0.0,5.328590935245188
Raw,0,0,0.0,60.54081678390503,0.0,0.0
Processed,0,0,0.0,56.54590111275668,0.0,5.326554228197779
Raw,0,0,0.0,61.890084743499756,0.0,0.0
Processed,0,0,0.0,57.88194702044245,0.0,5.344183630743089
Raw,0,0,0.0,63.217397928237915,0.0,0.0
Processed,0,0,0.0,59.21580974739132,0.0,5.335450907795462
Raw,0,0,0.0,64.55055236816406,0.0,0.0
Processed,0,0,0.0,60.549495402584505,0.0,5.334742620772744
Raw,0,0,0.0,65.89333653450012,0.0,0.0
Processed,0,0,0.0,61.88545568556341,0.0,5.34384113191561
Raw,0,0,0.0,67.23763227462769,0.0,0.0
Processed,0,0,0.0,63.223499832829475,0.0,5.352176589064271
Raw,0,0,0.0,68.5726535320282,0.0,0.0
Processed,0,0,0.0,64.56078825762916,0.0,5.349153699198723
