InpGyro_1X,InpGyro_1Y,InpGyro_1Z,InpGyro_2X,InpGyro_2Y,InpGyro_2Z,GyroX,GyroY,GyroZ,ExpGravityX,ExpGravityY,ExpGravityZ,ExpOxX,ExpOxY,ExpOxZ,ExpOyX,ExpOyY,ExpOyZ,AccX,AccY,AccZ,AccNoiseX,AccNoiseY,AccNoiseZ,ExpSpeedX,ExpSpeedY,ExpSpeedZ,dT
0.0007194467,0.0028271666,0.0008739969,0.003048338,0.007359693,-0.015790567,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,0.03973178,-0.0077691935,0.067144394,0.00019865889,-3.8845967e-05,0.00033572197,0.0,0.0,0.0,0.008743286
0.001785297,-0.0029017765,0.0006075343,0.0013163332,0.0057609174,-0.01605703,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,-0.04645948,-0.010163393,-0.026228905,-3.4631812e-05,-8.94687e-05,0.00020289882,0.0,0.0,0.0,0.027786255
-0.002877796,-0.000103920465,0.0012736907,-0.00014921091,0.0057609174,-0.016989648,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,-0.044065278,-0.0005865842,0.021655083,-0.00025478503,-9.195428e-05,0.00031015975,0.0,0.0,0.0,0.02468872
0.0021849908,0.0016280856,-5.86221e-05,0.0025154129,0.0077593867,-0.016589954,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,0.03494338,-0.023331504,-0.042988777,-7.879421e-05,-0.00020815202,9.3665076e-05,0.0,0.0,0.0,0.024734497
-0.00087932684,0.00016254198,-0.0013909345,0.0006501768,0.008425541,-0.012326554,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,-0.040473975,0.011384424,0.034823418,-0.00028077012,-0.00015018915,0.00026731385,0.0,0.0,0.0,0.024658203
0.0007194467,-0.000103920465,-0.002856478,-0.00014921091,0.0066935364,-0.013125942,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,0.040928878,-0.024528604,0.0132751465,-7.472189e-05,-0.00027208123,0.00033235303,0.0,0.0,0.0,0.02458191
0.0005862154,-0.0003703829,0.00020784047,0.00091663934,0.0053612236,-0.014058561,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,0.00022745132,0.05208585,0.014472008,-7.321103e-05,-1.029158e-05,0.0004030513,0.0,0.0,0.0,0.02456665
-0.00061286613,-0.0005036142,-0.0005915472,0.00011725165,0.009224929,-0.015390873,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,-0.008152254,0.013778623,0.003698349,-0.00011360624,5.8652997e-05,0.00041952776,0.0,0.0,0.0,0.024551392
0.002318222,0.00016254198,-0.0033894032,0.0011831019,0.011623092,-0.015524104,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,0.015789762,-0.058047425,0.015669823,-3.4089397e-05,-0.00023187738,0.0004957792,0.0,0.0,0.0,0.024658203
-0.0015454832,0.00096192944,0.0007407656,0.0027818754,0.006560305,-0.0137920985,0.0,0.0,0.0,0.008847373,-0.006656031,0.9999387,0.9999609,5.8890695e-05,-0.008847177,0.0,-0.9999779,-0.006656292,-0.0045609474,0.028143834,0.07432747,-5.6723686e-05,-8.999882e-05,0.00086493767,0.0,0.0,0.0,0.025619507
