GyroX,GyroY,GyroZ,ExpGravityX,ExpGravityY,ExpGravityZ,ExpOxX,ExpOxY,ExpOxZ,ExpOyX,ExpOyY,ExpOyZ,AccX,AccY,AccZ,AccNoiseX,AccNoiseY,AccNoiseZ,ExpSpeedX,ExpSpeedY,ExpSpeedZ,dT
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,-0.07857756109237679,0.00787693298459053,0.007230413818358983,-0.00039288780546188395,3.938466492295265e-05,3.6152069091794916e-05,0.0,0.0,0.0,0.004463196
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,0.021978908634185723,-0.02803609191775322,0.004836212158203068,-0.0002810288232636459,-0.00010099271799042823,6.0152369537351283e-05,0.0,0.0,0.0,0.01914215
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,0.02437311029434197,0.02224214294552803,-0.004740594482422367,-0.00015775812767561783,1.072296032716406e-05,3.614863527755269e-05,0.0,0.0,0.0,0.017150879
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,-0.03787613286972047,0.003088529664278035,0.04074923706054712,-0.0003463500013858421,2.6111993846918412e-05,0.00023971407740390054,0.0,0.0,0.0,0.017036438
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,-0.021116721248626735,0.06294357116818428,-0.004740594482422367,-0.0004502018576220466,0.00034069928971860525,0.0002148125346047692,0.0,0.0,0.0,0.01701355
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,0.03873832025527957,-0.047189705199003215,0.028778228759765767,-0.00025425924705753844,0.00010304726727499613,0.0003576296157305742,0.0,0.0,0.0,0.017089844
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,-0.02590512456893923,-0.016065083616971967,-0.03107681274414098,-0.00038251357366694686,2.2206612853761307e-05,0.00020045740393121643,0.0,0.0,0.0,0.01701355
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,0.021978908634185723,-0.00888247863650321,0.057508648681640295,-0.0002707064626276835,-2.2316813393023554e-05,0.00048699836031976186,0.0,0.0,0.0,0.017044067
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,-0.02590512456893923,0.02224214294552803,-0.04783622436523416,-0.00039887855315924126,8.900548540158171e-05,0.0002453822466919923,0.0,0.0,0.0,0.017028809
0.0,0.0,0.0,0.10036642,-0.0060221856,0.99493235,0.9949506,0.00060749264,-0.10036458,-5.820766e-11,-0.9999817,-0.0060527483,0.07704554681777953,0.017453739625215535,-0.004740594482422367,-1.1656426304547407e-05,0.0001758291561006515,0.0002204523630464205,0.0,0.0,0.0,0.017066956
