GyroX,GyroY,GyroZ,ExpGravityX,ExpGravityY,ExpGravityZ,ExpOxX,ExpOxY,ExpOxZ,ExpOyX,ExpOyY,ExpOyZ,AccX,AccY,AccZ,ExpSpeedX,ExpSpeedY,ExpSpeedZ,dT
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.05446809196472169,0.025594034123420734,0.02398943328857328,0.0,0.0,0.0,0.0045166016
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.02214636116027824,-0.0007421841382980188,0.026383634948729195,0.0,0.0,0.0,0.025878906
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.06045358772277831,0.02798823578357698,0.021595231628417366,0.0,0.0,0.0,0.025878906
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.004189857101440486,0.05911285736560823,0.01920102996826145,0.0,0.0,0.0,0.025817871
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.012569554519653248,0.05671865570545198,-0.011923591613770768,0.0,0.0,0.0,0.025756836
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.036511571121215725,-0.04623201568126678,0.06947926483154276,0.0,0.0,0.0,0.025756836
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.004189857101440486,0.04235344574451447,0.04314304656982415,0.0,0.0,0.0,0.025756836
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.03411736946105948,-0.012713192439079285,0.03596044158935463,0.0,0.0,0.0,0.025878906
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.012569554519653248,0.044747647404670715,-0.016711994934082597,0.0,0.0,0.0,0.025817871
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.08319851188659677,-0.031866805720329267,0.07187346649169868,0.0,0.0,0.0,0.025878906
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.03292027702331546,0.02798823578357698,0.028777836608886886,0.0,0.0,0.0,0.025756836
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.028131873703002963,0.001652017521858229,-0.04783661651611304,0.0,0.0,0.0,0.026123047
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.05207389030456544,0.001652017521858229,-0.004740986633301247,0.0,0.0,0.0,0.025817871
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,0.005386949539184505,0.013623025822639467,-0.03586560821533169,0.0,0.0,0.0,0.025817871
0.0,0.0,0.0,0.10529644,-0.022841565,0.9941785,0.994441,0.002418581,-0.105268665,2.3283064e-10,-0.99973625,-0.022969257,-0.025737672042846715,0.07587226898670198,0.04314304656982415,0.0,0.0,0.0,0.025756836
