type,longitude,latitude,dispositionX,dispositionY,velocityX,velocityY
Raw,0,0,0.24811715491263264,0.07850434846635146,0.0,0.0
Raw,0,0,0.8971533239037908,1.3726154692622994,0.0,0.0
Processed,0,0,0.4103761971604222,0.40203212866533844,0.6490361689911581,1.294111120795948
Raw,0,0,0.577733623090666,2.232349691785152,0.0,0.0
Processed,0,0,0.45221555364298316,0.8596115194452918,0.16735742593024394,1.8303175631198134
Raw,0,0,-0.2473903690197372,3.2788500936583764,0.0,0.0
Processed,0,0,0.27731407297730304,1.4644211629985628,-0.6996059226627205,2.419238574213084
Raw,0,0,0.3636764540997599,4.596156942631449,0.0,0.0
Processed,0,0,0.2989046682579173,2.2473551079067846,0.08636238112245698,3.131735779632887
Raw,0,0,-0.5712155261307379,7.022273963783975,0.0,0.0
Processed,0,0,0.08137461966075349,3.441084821876082,-0.8701201943886552,4.774918855877189
Raw,0,0,0.0,0.0,0.0,0.0
Raw,0,0,0.815586918080691,9.838949078107849,0.0,0.0
Processed,0,0,0.26492769426573787,5.040550885934024,0.7342122984199375,6.397864256231767
Raw,0,0,-0.6363249245767999,10.255909860865396,0.0,0.0
Processed,0,0,0.03961453955510341,6.344390629666867,-0.9012526188425378,5.215358974931373
Raw,0,0,-0.5820061312784806,12.559094389924612,0.0,0.0
Processed,0,0,-0.11579062815329258,7.898066569731302,-0.621620670833584,6.214703760257741
Raw,0,0,-0.04459709409438117,13.83995726120339,0.0,0.0
Processed,0,0,-0.09799224463856473,9.383539242599324,0.07119353405891138,5.941890691472089
Raw,0,0,0.0,0.0,0.0,0.0
Raw,0,0,0.2894596410902721,15.82717062804708,0.0,0.0
Processed,0,0,-0.00112927320635553,10.994447088961262,0.3874518857288368,6.443631385447752
Raw,0,0,-0.01159556659862715,17.561710498058503,0.0,0.0
Processed,0,0,-0.003745846554423435,12.636262941235572,-0.01046629339227162,6.567263409097237
Raw,0,0,0.0,0.0,0.0,0.0
Motor,0,0,0.0,18.537896871566772,0.0,0.0
Raw,0,0,0.421348598251168,20.4179758185116,0.0,0.0
Processed,0,0,0.10252776464697443,14.581691160554579,0.42509444480559144,7.7817128772760285
Raw,0,0,0.043698666602471015,21.70239570520649,0.0,0.0
Processed,0,0,0.08782049013584857,16.361867296717556,-0.058829098044503425,7.1207045446519075
